timestamp	msgtype	repeat	mmsi	status	turn	speed	accuracy	lon	lat	course	heading	second	maneuver	raim	radio
2017-07-21Z00:10:15.590738	1	0	244660374	15	-128	0.0	0	4.25149	51.91367	306.4	51.1	16	0	1	66117	
2017-07-21Z00:10:19.851876	1	0	244660375	15	-128	0.0	0	4.25058	51.914	313.3	51.1	20	0	1	115783	
2017-07-21Z00:10:25.094317	1	0	244660374	15	-128	0.0	0	4.2515	51.91368	306.8	51.1	25	0	1	33706	
2017-07-21Z00:10:29.272231	1	0	235080023	0	0	0.0	0	4.24826	51.91732	305.2	3.1	28	0	0	82493	
2017-07-21Z00:10:30.910065	1	0	244660375	15	-128	0.0	0	4.25058	51.91399	311.9	51.1	31	0	1	115786	
2017-07-21Z00:10:38.856224	1	0	235080023	0	0	0.0	0	4.24825	51.91732	287.6	3.1	38	0	0	82493	
2017-07-21Z00:10:41.560591	1	0	244660375	15	-128	0.0	0	4.25058	51.91399	311.2	51.1	42	0	1	50252	
2017-07-21Z00:10:46.148103	1	0	244660374	15	-128	0.0	0	4.2515	51.91369	306.7	51.1	46	0	1	100032	
2017-07-21Z00:10:50.570724	1	0	244660375	15	-128	0.1	0	4.25058	51.91399	312.3	51.1	51	0	1	16424	
2017-07-21Z00:10:55.404764	1	0	244660374	15	-128	0.0	0	4.2515	51.91369	307.4	51.1	56	0	1	16424	
2017-07-21Z00:11:00.073755	1	0	235080023	0	0	0.0	0	4.24827	51.91731	307.2	3.1	59	0	0	2276	
2017-07-21Z00:11:00.484330	3	0	244660375	15	-128	0.0	0	4.25059	51.914	312.0	51.1	1	0	1	12305	
2017-07-21Z00:11:08.922471	1	0	235080023	0	0	0.0	0	4.24827	51.9173	299.0	3.1	8	0	0	115261	
2017-07-21Z00:11:11.625183	1	0	244660375	15	-128	0.0	0	4.25059	51.914	312.2	51.1	12	0	1	65970	
2017-07-21Z00:11:15.556954	1	0	244660374	15	-128	0.0	0	4.2515	51.91368	308.2	51.1	16	0	1	50192	
2017-07-21Z00:11:19.571431	1	0	235080023	0	0	0.0	0	4.24827	51.9173	9.7	3.1	19	0	0	66268	
2017-07-21Z00:11:21.044170	1	0	244660375	15	-128	0.0	0	4.25059	51.91399	313.6	51.1	21	0	1	115789	
2017-07-21Z00:11:29.238807	1	0	235080023	0	0	0.0	0	4.24827	51.9173	296.1	3.1	28	0	0	66631	
2017-07-21Z00:11:36.447226	1	0	244660374	15	-128	0.0	0	4.2515	51.91368	309.2	51.1	37	0	1	2215	
2017-07-21Z00:11:38.822932	1	0	235080023	0	0	0.0	0	4.24827	51.9173	304.4	3.1	38	0	0	66990	
2017-07-21Z00:11:46.114201	1	0	244660374	15	-128	0.0	0	4.2515	51.91368	309.8	51.1	46	0	1	82959	
2017-07-21Z00:11:50.208822	1	0	235080023	0	0	0.0	0	4.24827	51.9173	7.7	3.1	49	0	0	100184	
2017-07-21Z00:11:50.291273	1	0	636016250	0	0	9.2	0	4.23339	51.91922	136.0	13.4	51	0	0	34652	
2017-07-21Z00:11:50.536912	1	0	244660375	15	-128	0.0	0	4.25063	51.91405	313.5	51.1	51	0	1	2271	
2017-07-21Z00:11:55.371069	1	0	244660374	15	-128	0.0	0	4.2515	51.91367	309.7	51.1	56	0	1	2264	
2017-07-21Z00:12:00.529406	1	0	244660375	15	-128	0.0	0	4.25063	51.91405	312.9	51.1	1	0	1	50253	
2017-07-21Z00:12:00.775707	1	0	235080023	0	0	0.0	0	4.24827	51.91732	311.4	3.1	0	0	0	98330	
2017-07-21Z00:12:05.936395	1	0	244660374	15	-128	0.0	0	4.2515	51.91368	309.4	51.1	6	0	1	2209	
2017-07-21Z00:12:08.967852	1	0	235080023	0	0	0.0	0	4.24827	51.91732	299.1	3.1	8	0	0	98637	
2017-07-21Z00:12:10.688415	1	0	636016250	0	0	9.1	0	4.23435	51.91861	135.5	13.4	11	0	0	83261	
2017-07-21Z00:12:11.670572	1	0	244660375	15	-128	0.0	0	4.25062	51.91404	314.2	51.1	12	0	1	50252	
2017-07-21Z00:12:15.602381	3	0	244660374	15	-128	0.0	0	4.25148	51.91368	307.2	51.1	16	0	1	12209	
2017-07-21Z00:12:16.667301	3	0	235115088	5	-128	0.0	1	4.24843	51.91738	210.8	51.1	16	0	1	85722	
2017-07-21Z00:12:19.616774	1	0	235080023	0	0	0.0	0	4.24826	51.91733	262.0	3.1	19	0	0	49720	
2017-07-21Z00:12:21.010494	1	0	244660375	15	-128	0.0	0	4.25061	51.91403	314.5	51.1	21	0	1	99089	
2017-07-21Z00:12:29.283899	1	0	235080023	0	0	0.0	0	4.24826	51.91733	305.4	3.1	28	0	0	49719	
2017-07-21Z00:12:30.921687	3	0	244660375	15	-128	0.0	0	4.2506	51.91402	315.2	51.1	31	0	1	12417	
2017-07-21Z00:12:38.867833	1	0	235080023	0	0	0.0	0	4.24826	51.91732	309.6	3.1	38	0	0	49718	
2017-07-21Z00:12:41.572209	1	0	244660375	15	-128	0.0	0	4.25059	51.91401	314.1	51.1	42	0	1	16432	
2017-07-21Z00:12:50.336611	1	0	636016250	0	0	8.9	0	4.23625	51.91741	135.8	13.3	51	0	0	16432	
2017-07-21Z00:12:51.567380	1	0	244660375	15	-128	0.0	0	4.25059	51.914	315.0	51.1	52	0	1	115790	
2017-07-21Z00:12:55.497954	1	0	244660374	15	-128	0.0	0	4.25147	51.91372	301.9	51.1	56	0	1	115726	
2017-07-21Z00:12:59.675251	1	0	636016250	0	0	8.9	0	4.23667	51.91715	135.5	13.2	0	0	0	116041	
2017-07-21Z00:13:00.742373	1	0	235080023	0	0	0.0	0	4.24825	51.91734	316.0	3.1	0	0	0	82485	
2017-07-21Z00:13:04.836955	1	0	244660374	15	-128	0.0	0	4.25148	51.91372	302.8	51.1	5	0	1	115728	
2017-07-21Z00:13:08.934122	1	0	235080023	0	0	0.0	0	4.24826	51.91734	331.7	3.1	8	0	0	82484	
2017-07-21Z00:13:15.568665	3	0	244660374	15	-128	0.0	0	4.25148	51.91373	301.7	51.1	16	0	1	30403	
2017-07-21Z00:13:24.743847	1	0	244660374	15	-128	0.0	0	4.25148	51.91373	300.6	51.1	25	0	1	99229	
2017-07-21Z00:13:30.888070	1	0	244660375	15	-128	0.0	0	4.2506	51.91404	309.8	51.1	31	0	1	83026	
2017-07-21Z00:13:30.969150	1	0	636016250	0	0	8.7	0	4.23813	51.91627	134.0	13.0	31	0	0	2246	
2017-07-21Z00:13:35.885856	3	0	244660374	15	-128	0.0	0	4.25149	51.91373	296.7	51.1	36	0	1	19233	
2017-07-21Z00:13:39.407186	3	0	245730000	5	-128	0.1	0	4.24755	51.91655	359.5	51.1	39	0	0	0	
2017-07-21Z00:13:40.716982	1	0	636016250	0	0	8.6	0	4.2386	51.91599	134.1	12.8	41	0	0	83275	
2017-07-21Z00:13:41.538546	1	0	244660375	15	-128	0.0	0	4.2506	51.91403	307.5	51.1	42	0	1	2219	
2017-07-21Z00:13:50.220385	1	0	235080023	0	0	0.0	0	4.24826	51.91733	317.4	3.1	49	0	0	67416	
2017-07-21Z00:13:55.464200	1	0	244660374	15	-128	0.0	0	4.2515	51.91374	295.7	51.1	56	0	1	100382	
2017-07-21Z00:14:00.462335	1	0	244660375	15	-128	0.0	0	4.25059	51.91399	310.7	51.1	1	0	1	16440	
2017-07-21Z00:14:00.787378	1	0	235080023	0	0	0.0	0	4.24826	51.91734	316.2	3.1	0	0	0	65562	
2017-07-21Z00:14:04.803276	1	0	244660374	15	-128	0.0	0	4.2515	51.91374	295.1	51.1	5	0	1	98482	
2017-07-21Z00:14:08.979619	1	0	235080023	0	0	0.0	0	4.24825	51.91737	328.5	3.1	8	0	0	65869	
2017-07-21Z00:14:15.534891	3	0	244660374	15	-128	0.0	0	4.25151	51.91373	295.7	51.1	16	0	1	11521	
2017-07-21Z00:14:21.269519	1	0	636016250	0	0	8.3	0	4.24057	51.91496	127.2	12.5	22	0	0	2187	
2017-07-21Z00:14:24.710090	1	0	244660374	15	-128	0.0	0	4.25151	51.91372	294.8	51.1	25	0	1	82965	
2017-07-21Z00:14:30.933380	1	0	244660375	15	-128	0.0	0	4.25058	51.91404	304.5	51.1	31	0	1	66692	
2017-07-21Z00:14:34.784376	1	0	244660374	15	-128	0.0	0	4.2515	51.91372	291.2	51.1	35	0	1	115734	
2017-07-21Z00:14:38.879601	1	0	235080023	0	0	0.0	0	4.24828	51.91728	291.2	3.1	38	0	0	16440	
2017-07-21Z00:14:40.764301	1	0	244660375	15	-128	0.0	0	4.25059	51.91404	301.9	51.1	41	0	1	50259	
2017-07-21Z00:14:50.758364	1	0	636016250	0	0	8.2	0	4.24199	51.91429	126.3	12.4	51	0	0	116052	
2017-07-21Z00:14:51.579165	1	0	244660375	15	-128	0.0	0	4.2506	51.91402	303.5	51.1	52	0	1	83028	
2017-07-21Z00:14:55.509684	1	0	244660374	15	-128	0.0	0	4.2515	51.91372	287.0	51.1	56	0	1	82968	
2017-07-21Z00:15:00.507755	1	0	244660375	15	-128	0.0	0	4.25061	51.914	304.8	51.1	1	0	1	2300	
2017-07-21Z00:15:00.753737	3	0	235080023	0	0	0.0	0	4.24828	51.91727	271.5	3.1	0	0	0	1923	
2017-07-21Z00:15:04.848386	1	0	244660374	15	-128	0.0	0	4.2515	51.91373	285.5	51.1	5	0	1	82967	
2017-07-21Z00:15:08.945873	1	0	235080023	0	0	0.0	0	4.24829	51.91726	292.7	3.2	8	0	0	49715	
2017-07-21Z00:15:11.648635	1	0	244660375	15	-128	0.0	0	4.25061	51.91399	307.7	51.1	12	0	1	2209	
2017-07-21Z00:15:15.580395	1	0	244660374	15	-128	0.0	0	4.2515	51.91373	284.4	51.1	16	0	1	82966	
2017-07-21Z00:15:18.367376	3	0	235115088	5	-128	0.0	1	4.24844	51.91739	210.8	51.1	18	0	1	84138	
2017-07-21Z00:15:19.596164	1	0	636016250	0	0	8.1	0	4.24343	51.91365	125.1	12.5	20	0	0	116052	
2017-07-21Z00:15:20.988443	1	0	244660375	15	-128	0.0	0	4.25061	51.91398	308.8	51.1	21	0	1	50261	
2017-07-21Z00:15:24.755512	1	0	244660374	15	-128	0.0	0	4.25149	51.91372	283.3	51.1	25	0	1	66461	
2017-07-21Z00:15:26.804686	1	0	23303610	15	-128	0.0	1	4.25049	51.92084	196.8	51.1	26	0	1	49644	
2017-07-21Z00:15:29.261918	1	0	235080023	0	0	0.0	0	4.24825	51.91733	315.6	3.1	28	0	0	2292	
2017-07-21Z00:15:30.819002	1	0	636016250	0	0	8.0	0	4.24397	51.91341	125.4	12.5	31	0	0	83282	
2017-07-21Z00:15:30.899766	1	0	244660375	15	-128	0.0	0	4.2506	51.914	308.0	51.1	31	0	1	50261	
2017-07-21Z00:15:34.750760	1	0	244660374	15	-128	0.0	0	4.25148	51.91372	279.4	51.1	35	0	1	99605	
2017-07-21Z00:15:40.649853	1	0	636016250	0	0	8.0	0	4.24446	51.91319	125.9	12.5	41	0	0	50511	
2017-07-21Z00:15:40.730709	1	0	244660375	15	-128	0.0	0	4.25059	51.91402	303.1	51.1	41	0	1	34293	
2017-07-21Z00:15:42.285917	1	0	246891000	0	0	10.6	1	4.26763	51.90557	301.0	30.3	40	0	0	67118	
2017-07-21Z00:15:50.232138	1	0	235080023	0	0	0.0	0	4.24826	51.91731	329.2	3.1	49	0	0	34648	
2017-07-21Z00:15:50.724991	1	0	636016250	0	0	8.1	0	4.24495	51.91297	126.5	12.4	51	0	0	100204	
2017-07-21Z00:15:55.475994	1	0	244660374	15	-128	0.0	0	4.25148	51.91372	272.5	51.1	56	0	1	67614	
2017-07-21Z00:16:01.783563	1	0	246891000	0	0	10.4	1	4.26638	51.90603	301.0	30.4	59	0	0	32832	
2017-07-21Z00:16:08.991294	1	0	235080023	0	0	0.0	0	4.24827	51.91729	323.9	3.1	8	0	0	33101	
2017-07-21Z00:16:10.711843	1	0	636016250	0	0	8.2	0	4.24594	51.91252	125.9	12.3	11	0	0	2252	
2017-07-21Z00:16:15.546644	1	0	244660374	15	-128	0.0	0	4.25148	51.91372	275.1	51.1	16	0	1	66117	
2017-07-21Z00:16:19.641219	1	0	636016250	0	0	8.3	0	4.2464	51.91232	125.3	12.3	20	0	0	99037	
2017-07-21Z00:16:20.050214	1	0	235080023	0	0	0.0	0	4.24828	51.91725	301.5	3.2	19	0	0	115257	
2017-07-21Z00:16:21.116574	1	0	246891000	0	0	10.1	1	4.2652	51.90652	302.0	30.4	18	0	0	49884	
2017-07-21Z00:16:30.864027	3	0	636016250	0	0	8.3	0	4.24697	51.91208	124.7	12.2	31	0	0	21123	
2017-07-21Z00:16:30.866023	1	0	244660375	15	-128	0.0	0	4.25057	51.91402	300.2	51.1	31	0	1	33924	
